Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2/5/16,3072,3308,0,11526,1176,1610,738853,995,4972,866,0,1176,42%,5,0:05:40,0,0,0,0%,9312,5824,1177,927,788,637,249,181,8415,0.63s,49%,3.5,0:03:43
2/6/16,2235,2345,0,6425,75,1230,349475,557,1673,505,0,43,48%,3,0:03:03,0,0,0,0%,4917,3555,914,673,454,377,140,75,4387,0.79s,52%,2.7,0:02:29
2/7/16,2206,2338,0,6055,33,1315,356442,559,1439,500,0,23,53%,2.6,0:02:42,0,0,0,0%,4591,3478,921,706,423,351,120,80,4110,0.75s,56%,2.6,0:02:32
2/8/16,3579,3849,0,12833,1317,1903,785262,1180,5441,1027,0,1317,44%,4.6,0:05:04,0,0,0,0%,10266,6654,1417,1136,851,716,299,198,9449,0.68s,49%,3.3,0:03:24
2/9/16,3516,3765,0,12868,1298,1865,780804,1155,4025,1014,0,171,40%,3.5,0:04:19,0,0,0,0%,10277,6471,1525,1237,822,676,244,172,9425,0.61s,50%,3.4,0:03:27
2/10/16,3583,3843,0,13380,1350,1852,816182,1188,4604,1035,0,527,41%,3.9,0:04:36,0,0,0,0%,10717,6666,1453,1131,862,692,348,224,9777,0.59s,48%,3.5,0:03:32
2/11/16,3570,3823,0,12778,1240,1874,801925,1159,5255,1003,0,1240,43%,4.5,0:05:05,0,0,0,0%,9968,6458,1638,1301,867,705,305,190,9130,0.57s,49%,3.3,0:03:30
2/12/16,3262,3498,0,11466,1004,1715,729511,1046,4853,912,0,1004,44%,4.6,0:05:22,0,0,0,0%,9052,5921,1378,1099,769,621,267,169,8290,0.6s,49%,3.3,0:03:29
2/13/16,2613,2792,0,7297,108,1558,452079,677,1967,593,0,108,52%,2.9,0:03:21,0,0,0,0%,5542,3999,1201,955,435,389,119,72,4950,0.77s,56%,2.6,0:02:42
2/14/16,2701,2878,0,7215,54,1664,402189,648,1759,573,0,54,53%,2.7,0:03:11,0,0,0,0%,5621,4214,1078,831,417,371,99,73,5086,0.78s,58%,2.5,0:02:20
2/15/16,3856,4111,0,12064,83,2103,681146,1107,3829,968,0,83,43%,3.5,0:03:43,0,0,0,0%,9425,6946,1573,1247,769,655,297,170,8417,0.66s,51%,2.9,0:02:46
2/16/16,4007,4301,0,14552,1214,2106,895881,1245,6031,1080,0,1214,40%,4.8,0:05:27,0,0,0,0%,11489,7300,1896,1437,855,714,312,196,10332,0.58s,49%,3.4,0:03:28
2/17/16,3759,4012,0,13110,1186,1975,800121,1183,5305,1040,0,1186,42%,4.5,0:04:58,0,0,0,0%,10287,6616,1639,1279,892,704,292,183,9309,0.63s,49%,3.3,0:03:19
2/18/16,4010,4297,0,14133,1192,2139,859866,1299,5934,1127,0,1192,43%,4.6,0:04:59,0,0,0,0%,11414,7410,1553,1223,862,718,304,195,10423,0.61s,50%,3.3,0:03:20
2/19/16,3483,3732,0,12006,1022,1873,774424,1097,5033,953,0,1022,44%,4.6,0:05:40,0,0,0,0%,9615,6252,1361,1065,770,624,260,179,8723,0.63s,50%,3.2,0:03:28
2/20/16,2414,2564,0,6532,42,1427,381143,619,1628,551,0,42,52%,2.6,0:03:05,0,0,0,0%,4999,3650,950,729,429,370,154,98,4468,0.9s,56%,2.5,0:02:29
2/21/16,2645,2784,0,7026,47,1564,382901,642,1782,586,0,40,52%,2.8,0:02:42,0,0,0,0%,5328,4012,1101,852,447,390,150,103,4780,0.77s,56%,2.5,0:02:18
2/22/16,4334,4683,0,16391,1850,2405,866663,1434,6148,1226,0,1184,45%,4.3,0:04:35,0,0,0,0%,11438,7568,3540,2405,1120,836,293,182,10458,0.61s,51%,3.5,0:03:05
2/23/16,4190,4538,0,15013,1075,2196,871838,1434,4638,1217,0,129,42%,3.2,0:03:34,0,0,0,0%,11882,7866,1826,1421,911,762,394,244,10856,0.55s,48%,3.3,0:03:12
2/24/16,3893,4222,0,13635,1243,2074,852644,1342,5935,1124,0,1243,43%,4.4,0:05:04,0,0,0,0%,10668,6954,1668,1294,923,758,376,218,9776,0.59s,49%,3.2,0:03:22
2/25/16,3696,3982,0,12913,1165,1946,789514,1271,5084,1100,0,1165,44%,4,0:04:24,0,0,0,0%,10298,6624,1477,1171,892,703,246,178,9480,0.6s,49%,3.2,0:03:18
2/26/16,3436,3696,0,11629,1036,1886,762940,1084,3714,950,0,304,47%,3.4,0:04:41,0,0,0,0%,9284,5991,1367,1104,740,588,238,171,8558,0.65s,51%,3.1,0:03:26
2/27/16,2463,2618,0,6632,53,1421,423400,706,1887,613,0,40,51%,2.7,0:03:19,0,0,0,0%,5000,3695,1064,801,466,398,102,70,4421,0.84s,54%,2.5,0:02:42
2/28/16,2577,2778,0,7199,68,1531,426129,722,2021,617,0,38,50%,2.8,0:03:18,0,0,0,0%,5414,4004,1133,888,540,475,112,73,4892,0.7s,55%,2.6,0:02:33
